Unnamed: 0,Affiliation,Journal Category,Rank,School Weight,Year Range,Number of Records,Latitude,Longitude
0,University of Texas - Dallas,Analytical,1,67.75,2026 Ranking (2021-2025),1,32.9875855,-96.749784
1,Massachusetts Institute of Technology,Analytical,2,61.1,2026 Ranking (2021-2025),1,42.3582529,-71.0966272
2,Columbia University,Analytical,3,57.81,2026 Ranking (2021-2025),1,40.8077508,-73.9624901
3,Chinese University of Hong Kong,Analytical,4,51.17,2026 Ranking (2021-2025),1,22.4140914,114.2100208
4,University of Michigan,Analytical,5,46.03,2026 Ranking (2021-2025),1,42.2942142,-83.7100389
5,University of Toronto,Analytical,6,39.07,2026 Ranking (2021-2025),1,43.6608141,-79.3960322
6,Hong Kong University of Science and Technology,Analytical,7,38.16,2026 Ranking (2021-2025),1,22.8916128,113.4790189
7,National University of Singapore,Analytical,8,36.62,2026 Ranking (2021-2025),1,1.2959845,103.7766186
8,Stanford University,Analytical,9,33.82,2026 Ranking (2021-2025),1,37.4313138,-122.1693654
9,Georgia Institute of Technology,Analytical,10,33.67,2026 Ranking (2021-2025),1,33.7760948,-84.3988077
10,Purdue University,Analytical,11,33.39,2026 Ranking (2021-2025),1,40.430028,-86.9264211
11,Cornell University,Analytical,12,30.02,2026 Ranking (2021-2025),1,42.4529076,-76.4800842
12,University of Texas,Analytical,13,29.4,2026 Ranking (2021-2025),1,32.7552784,-117.1388048
13,University of Chicago,Analytical,14,28.1,2026 Ranking (2021-2025),1,33.961441,-117.3483161
14,Hong Kong Polytechnic University,Analytical,15,27.53,2026 Ranking (2021-2025),1,22.3034264,114.1777564
15,Northwestern University,Analytical,16,27.42,2026 Ranking (2021-2025),1,42.0557157,-87.6752945
16,Duke University,Analytical,17,26.82,2026 Ranking (2021-2025),1,36.0001557,-78.9442297
17,INSEAD,Analytical,18,26.77,2026 Ranking (2021-2025),1,48.4055966,2.6846928
18,Indiana University,Analytical,19,26.67,2026 Ranking (2021-2025),1,39.1802358,-86.5093526
19,Washington University - St. Louis,Analytical,20,25.43,2026 Ranking (2021-2025),1,38.6472402,-90.3084017
20,University of California - Berkeley,Analytical,21,24.57,2026 Ranking (2021-2025),1,37.8754996,-122.2390685
21,Arizona State University,Analytical,22,24.44,2026 Ranking (2021-2025),1,33.4213174,-111.9331631
22,University of California - Los Angeles,Analytical,23,24.37,2026 Ranking (2021-2025),1,34.0708777,-118.4468503
